server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/building/naboo/hospital_naboo.iff	0	1944	-1.55598e-07	1959	0.70711	0	-0.707103	0	planet_map.map_loc:npc.skillteacher.hospital_trainer_spawner:structure.municipal.hospital:systems.elevator.hospital_elevators	alreadySpawned|0|1|healing.canhealwound|0|1|portalProperty.crc|0|-647578944|terminal1|6|167000250|terminal3|6|167000259|terminal4|6|167000262|terminal6|6|167000271|terminalA1|6|167000253|terminalA2|6|167000256|terminalB1|6|167000265|terminalB2|6|167000268|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
object/cell/cell.iff	13	0	0	0	1	0	0	0	systems.elevator.button_check	$|
object/cell/cell.iff	14	0	0	0	1	0	0	0	systems.elevator.button_check_2	$|
object/building/naboo/hotel_naboo_theed.iff	0	1846	0	1852	0.707109	0	0.707104	0	planet_map.map_loc:systems.event_perk.promoter_hotel_spawner	event_perk.promoter|6|117005738|healing.canhealshock|0|1|portalProperty.crc|0|-418195845|safeLogout|0|1|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
object/tangible/spawning/static_npc/event_promoter_neutral.iff	10	-23	1.6	-15	1	0	0	0	systems.event_perk.promoter_spawner	npc_name|4|An Event Promoter|promoter_type|4|neutral|quest_script|4|systems.event_perk.promoter|spawns|4|commoner|$|
object/building/kashyyyk/poi_kash_rodian_hut.iff	0	1840.89	-2.38419e-07	1911.56	-0.382683	0	0.92388	0		portalProperty.crc|0|1498389712|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/building/kashyyyk/poi_kash_rodian_hut.iff	0	1846.78	1.37875e-06	1895.4	-0.707107	0	0.707107	0		portalProperty.crc|0|1498389712|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/building/naboo/salon_naboo.iff	0	1840.92	-2.12958e-07	1932.5	1	0	0	0	planet_map.map_loc	portalProperty.crc|0|-1344836679|salon|0|1|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/building/naboo/trandoshan_slave_naboo_house.iff	0	1984	1.56851	1873	0.70711	0	0.707103	0		portalProperty.crc|0|2027776254|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
object/building/naboo/filler_building_naboo_theed_style_10.iff	0	1873	0	1898	0	0	1	0	structure.filler.filler	$|
object/building/naboo/filler_building_naboo_theed_style_10.iff	0	1873	0	1924	1	0	0	0	structure.filler.filler	$|
object/building/naboo/filler_building_naboo_theed_style_3.iff	0	1873	0	1977	-1.68587e-07	0	1	0	structure.filler.filler	$|
object/static/structure/general/tankfarm_s01.iff	0	1850	0	1822	0	0	1	0		$|
object/static/structure/general/tankfarm_s01.iff	0	1840	-0.00118262	1822	0	0	1	0		$|
object/static/vehicle/kash_rodian_shuttle.iff	0	1987	-1.3709e-06	1813	1	0	0	0		$|
object/static/vehicle/static_lambda_shuttle.iff	0	1928	0	1814	0.707103	0	0.70711	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	-1e-06	1798	0.707109	0	0.707104	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1850	0	2002	6.55384e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	0	1816	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	0	1834	0.707111	0	0.707102	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	1e-06	1872	-0.707102	0	0.707111	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1852	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	0	1872	0.707111	0	0.707102	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	1e-06	1910	-0.707102	0	0.707111	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1890	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	2.61009e-06	1911	0.707116	0	0.707097	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	2e-06	1948	-0.707102	0	0.707111	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	2e-06	1928	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1910	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1872	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	3e-06	1986	-0.707102	0	0.707111	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	3e-06	1966	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	2e-06	1948	0.707115	0	0.707098	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	2e-06	1948	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	1e-06	2002	-0.707102	0	0.707111	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1984	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	0	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	9.53674e-07	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1964	1.90735e-06	2002	5.96378e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1984	1.90735e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1964	1.90735e-06	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1926	3.09944e-06	2002	5.96378e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1946	3.09944e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1964	1.90735e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1926	1.90735e-06	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1888	3.09944e-06	2002	5.96378e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1908	3.09944e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1888	3.09944e-06	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1870	4.05312e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1888	3.09944e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1926	3.09944e-06	2002	-0.707107	0	0.707107	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1832	4e-06	2002	0.707111	0	-0.707102	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1850	2.86102e-06	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1812	0	2002	7e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1818	2.86102e-06	2002	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1798	4e-06	2002	0.707115	0	-0.707098	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1798	4.05312e-06	1982	0.707112	0	0.707102	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1798	1e-06	1982	0.707117	0	-0.707096	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1798	1e-06	1962	0.707116	0	0.707097	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1798	1e-06	1962	0.707117	0	-0.707096	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1798	1e-06	1942	0.707116	0	0.707097	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	1e-06	1834	1	0	0	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	2002	0	1816	0.707112	0	0.707101	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	2002	5.00679e-06	1798	0.707109	0	0.707104	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1984	4.05312e-06	1798	6.06915e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1984	4.05312e-06	1798	0.707109	0	0.707104	0		$|
object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1966	3.09944e-06	1798	1.87554e-06	0	1	0		$|
object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1966	0	1798	0.707111	0	0.707102	0		$|
