server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/tangible/spawning/spawn_egg.iff	0	0	0	0	1	0	0	0		$|
object/building/hub/space_station.iff	0	8001.03	270.111	8002.07	1	0	0	0	structure.municipal.cloning_facility:content_tools.interior_buildout:npe.npe_public_instance	instance_name|4|hub|isControllerObject|0|1|portalProperty.crc|0|1986195772|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
object/tangible/instrument/nalargon.iff	1	-15.5902	0	-15.5647	0.92388	0	0.382683	0	systems.skills.performance.instrument:theme_park.stp.wendle.dax_vreebo	ai.mood|4|themepark_music_2|instrument.unequippable|0|1|$|
object/tangible/furniture/modern/couch_modern_style_01.iff	1	-11.607	-1	11.6526	0.382683	0	0.92388	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-10.6714	-1	10.754	1	0	0	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	10.4253	-1	-10.5379	0	0	1	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	1	11.3608	-1	-11.4366	0.92388	0	-0.382683	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	10.6214	-1	10.4779	0.707107	0	0.707107	0		$|
object/tangible/furniture/modern/couch_modern_style_01.iff	1	11.5201	-1	11.4135	-0.382684	0	0.923879	0		$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-16.8788	-0.102377	12.289	1	0	0	0		$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-16.028	0	13.0384	-0.382683	0	0.92388	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-16.9587	0	11.377	0.999638	0	0.0268989	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-17.5829	0	12.6446	0.521404	0	0.85331	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-12.3121	0.102377	15.9033	0.999638	0	0.026899	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-12.9363	0.102377	17.1708	0.521404	0	0.85331	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-12.2322	0	16.8153	1	0	0	0		$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-11.3814	0.102377	17.5647	-0.382683	0	0.92388	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-5.72621	0.102377	20.4375	0.999638	0	0.026899	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-6.35043	0.102377	21.705	0.521404	0	0.85331	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-5.64635	0	21.3495	1	0	0	0		$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-4.79554	0.102377	22.0989	-0.382683	0	0.92388	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-9.10532	0.102377	17.703	0.521404	0	0.85331	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-8.40125	0	17.3475	1	0	0	0		$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-7.55044	0.102377	18.0969	-0.382683	0	0.92388	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-21.0227	0.102377	4.71117	0.999638	0	0.026899	0		occupied.limit|0|1|$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-21.6469	0.102377	5.97869	0.521404	0	0.85331	0		occupied.limit|0|1|$|
object/tangible/furniture/modern/table_modern_style_01.iff	1	-20.9429	0	5.62316	1	0	0	0		$|
object/tangible/furniture/space/frn_chair_falcon_passenger_s01.iff	1	-20.0921	0.102377	6.37255	-0.382683	0	0.92388	0		occupied.limit|0|1|$|
object/mobile/max_rebo.iff	1	-15.9005	-2.57464e-09	-15.7518	0.916371	0	0.400331	0	systems.combat.credit_for_kills:player.species_innate:theme_park.stp.wendle.dax_vreebo	ai.mood|4|themepark_music_2|invulnerable|4|1|$|
object/soundobject/soundobject_cantina_large.iff	1	-0.0997909	3.8875	-0.023319	1	0	0	0		$|
object/soundobject/soundobject_jabba_max_rebo_band.iff	1	-0.0535643	3.58616	-0.0621876	0.921061	0	0.389418	0		$|
