shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
h	i	f	f	f	f	f	f	f	f	i
object/building/military/shared_outpost_shed.iff	0	1958.7	1.15461e-07	1788.68	-0.707107	0	0.707107	0	512	1376564094
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/building/mustafar/structures/shared_must_grounded_yt2400.iff	0	1904.26	9.53674e-07	2016.52	0.308007	0	0.951384	0	512	2085181516
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/tangible/furniture/space/shared_frn_chair_falcon_passenger_s01.iff	1	24.3129	5.25616	13.5779	1	0	0	0	50	0
object/tangible/furniture/space/shared_frn_chair_falcon_passenger_s01.iff	1	25.7599	5.25616	13.5808	1	0	0	0	50	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/tangible/furniture/all/shared_frn_all_bed_lg_s1.iff	4	-4.95864	5.37758	-7.85607	0.707107	0	0.707107	0	50	0
object/tangible/furniture/all/shared_frn_all_camp_lantern_s2.iff	4	-6.89992	5.37758	-9.50007	1	0	0	0	50	0
object/tangible/furniture/all/shared_frn_all_rug_rectangle_large_style_01.iff	4	-4.52717	5.37758	-7.82972	1	0	0	0	50	0
object/tangible/furniture/all/shared_frn_all_professor_desk.iff	4	5.99624	5.37758	-8.8144	-0.707107	0	0.707107	0	50	0
object/tangible/furniture/space/shared_frn_chair_falcon_passenger_s01.iff	4	4.77925	5.37784	-10.1237	0.981702	0	0.190423	0	50	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/tangible/furniture/elegant/shared_love_seat_hue_s01.iff	6	4.10818	5.20319	5.69178	1	0	0	0	50	0
object/tangible/furniture/elegant/shared_end_table_s01.iff	6	5.20381	5.20319	5.76012	1	0	0	0	50	0
object/tangible/furniture/tatooine/shared_uber_gungan_statue_s01.iff	6	1.17998	5.20319	5.37813	0.952333	0	0.305059	0	50	0
object/tangible/theme_park/myyydril/shared_myyydril_magic_stone.iff	6	5.1608	5.55316	5.76018	1	0	0	0	50	0
object/soundobject/shared_soundobject_jabba_max_rebo_band.iff	6	4.5243	5.20319	7.89722	1	0	0	0	128	0
object/tangible/furniture/ep3_rewards/shared_ep3_kash_reward_trophy_katarn.iff	6	2.28659	7.59161	10.996	0.382683	0	0.92388	0	50	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/tangible/furniture/tatooine/shared_frn_tato_meat_rack.iff	7	-8.17898	5.20319	9.59932	0.403294	0	0.915071	0	50	0
object/tangible/furniture/modern/shared_rug_oval_lg_s01.iff	7	-6.78131	5.20319	8.29211	-0.382684	0	0.923879	0	50	0
object/building/military/shared_military_outpost_guard_house_imperial.iff	0	1968	-2.4647e-07	1834	0.707106	0	0.707107	0	512	-285862605
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/building/military/shared_military_outpost_guard_house_imperial.iff	0	1934	-1.33131e-07	1760	-2.95028e-07	0	1	0	512	-285862605
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1954	2.28214e-07	1758	1	0	0	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1898	3.45771e-07	1758	1	0	0	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1970	-3.92412e-07	1774	0.707115	0	-0.707098	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1970	2.28214e-07	1806	0.707118	0	-0.707095	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_style_01.iff	0	1970	2.5071e-07	1858	0.707115	0	-0.707098	0	200	0
object/static/structure/military/shared_military_column_strong_imperial_style_01.iff	0	1970	7.16688e-08	1854	1	0	0	0	128	0
object/static/structure/military/shared_military_column_strong_imperial_style_01.iff	0	1970	0.301757	1758	1	0	0	0	128	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1838	-5.0997e-07	1774	0.70712	0	-0.707093	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1838	2.28214e-07	1806	0.707122	0	-0.707091	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1838	2.28214e-07	1838	0.707124	0	-0.707089	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_16_style_01.iff	0	1942	-2.18456e-07	1854	1	0	0	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1918	2.28214e-07	1854	1	0	0	0	200	0
object/static/structure/military/shared_military_wall_med_imperial_32_style_01.iff	0	1886	2.28214e-07	1854	1	0	0	0	200	0
object/static/structure/military/shared_military_column_strong_imperial_style_01.iff	0	1953.7	4.79268e-08	1779.68	1	0	0	0	128	0
object/static/structure/military/shared_military_column_strong_imperial_style_01.iff	0	1953.7	-8.57821e-08	1770.68	1	0	0	0	128	0
object/static/structure/military/shared_poi_all_force_bandit_fence_8m.iff	0	1953.7	-2.59687e-07	1774.68	-0.707107	0	0.707107	0	128	0
object/static/structure/military/shared_military_wall_med_imperial_style_01.iff	0	1958.7	-2.24783e-07	1770.68	1	0	0	0	200	0
