shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
h	i	f	f	f	f	f	f	f	f	i
object/building/heroic/shared_heroic_jabbas_palace.iff	0	1900.96	-8.07318e-06	1664.24	1	0	0	0	512	-770742594
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	13	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	14	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	15	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	16	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	17	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	18	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	19	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	20	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	21	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	22	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	23	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	24	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	25	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	26	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	27	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	28	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	29	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	30	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	31	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	32	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	33	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	34	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	35	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	36	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	37	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	38	0	0	0	1	0	0	0	0	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1440	0.707107	0	-0.707106	0	2048	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1448	0.707107	0	-0.707106	0	2048	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1424	0.707107	0	-0.707106	0	2048	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1432	0.707107	0	-0.707106	0	2048	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1416	0.707107	0	-0.707106	0	2048	0
object/static/space/debris/shared_cargo_pristine_large_a.iff	0	1847	7.08597	1408	0.707107	0	-0.707106	0	2048	0
object/building/general/shared_landing_pad_smuggler_01.iff	0	1849.57	-1.12511e-06	1427.79	0.707107	0	0.707106	0	512	-688757533
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/military/shared_outpost_shed.iff	0	1868	4.11573e-07	1412	1	0	0	0	512	1376564094
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
