shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
h	i	f	f	f	f	f	f	f	f	i
object/building/naboo/shared_hospital_naboo.iff	0	1944	-1.55598e-07	1959	0.707109	0	-0.707104	0	512	-647578944
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	13	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	14	0	0	0	1	0	0	0	0	0
object/building/naboo/shared_hotel_naboo_theed.iff	0	1846	0	1852	0.707108	0	0.707105	0	512	-418195845
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
object/building/kashyyyk/shared_poi_kash_rodian_hut.iff	0	1840.89	-2.38419e-07	1911.56	-0.382683	0	0.92388	0	512	1498389712
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/kashyyyk/shared_poi_kash_rodian_hut.iff	0	1846.78	1.37875e-06	1895.4	-0.707107	0	0.707107	0	512	1498389712
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/naboo/shared_salon_naboo.iff	0	1840.92	-2.12958e-07	1932.5	1	0	0	0	512	-1344836679
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/naboo/shared_trandoshan_slave_naboo_house.iff	0	1984	1.56851	1873	0.707109	0	0.707104	0	512	2027776254
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
