shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
h	i	f	f	f	f	f	f	f	f	i
object/building/corellia/shared_merchant_tent_corellia_s01.iff	0	2543.04	121.24	12703.3	0.724835	0	0.688923	0	512	-1028664474
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/corellia/shared_merchant_tent_corellia_s01.iff	0	2545.85	121.263	12722.8	0.209239	0	0.977865	0	512	-1028664474
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/corellia/shared_salon_corellia.iff	0	2551.88	121.292	12683.4	0.813879	0	0.581035	0	512	2069257137
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/corellia/shared_ply_corl_house_m_s01_fp1.iff	0	2614	122.636	12782	0	0	1	0	512	1374805460
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/building/general/shared_rori_bat_cave.iff	0	2514.11	54.9592	12742.5	-0.707107	0	0.707107	0	512	2132267142
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
object/building/kashyyyk/shared_poi_kash_chiss_hut.iff	0	2619.02	114.789	12808.2	0	0	1	0	512	1246693083
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/building/corellia/shared_starport_corellia.iff	0	13247	74.9094	3771	6.21831e-06	-0.00250241	0.999994	-0.00250238	512	-940528188
object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	0	0
