ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	TIMER_AMOUNT	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE	RADIUS	NPC_NAME	SERVER_TEMPLATE	RETRIEVE_MENU_TEXT	START_MESSAGE	PRIMARY_TARGET_WAVE_1	UTTERANCE_WAVE_1	RADIUS_WAVE_1	GUARDS_SPAWNED_WAVE_1	NUM_GUARDS_WAVE_1	DELAY_WAVE_1	PRIMARY_TARGET_WAVE_2	UTTERANCE_WAVE_2	RADIUS_WAVE_2	GUARDS_SPAWNED_WAVE_2	NUM_GUARDS_WAVE_2	DELAY_WAVE_2	PRIMARY_TARGET_WAVE_3	UTTERANCE_WAVE_3	RADIUS_WAVE_3	GUARDS_SPAWNED_WAVE_3	NUM_GUARDS_WAVE_3	DELAY_WAVE_3	PRIMARY_TARGET_WAVE_4	UTTERANCE_WAVE_4	RADIUS_WAVE_4	GUARDS_SPAWNED_WAVE_4	NUM_GUARDS_WAVE_4	DELAY_WAVE_4	PRIMARY_TARGET_WAVE_5	UTTERANCE_WAVE_5	RADIUS_WAVE_5	GUARDS_SPAWNED_WAVE_5	NUM_GUARDS_WAVE_5	DELAY_WAVE_5	PRIMARY_TARGET_WAVE_6	UTTERANCE_WAVE_6	RADIUS_WAVE_6	GUARDS_SPAWNED_WAVE_6	NUM_GUARDS_WAVE_6	DELAY_WAVE_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	b	i	i	b	b	b	e(give=0,deliver=1)[give]	s	s	s	s	s	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i
quest.task.ground.give_item	@quest/ground/taan_preq:task00_journal_entry_title	@quest/ground/taan_preq:task00_journal_entry_description	1			0	1		DeathSticks	1				0	none	none			BusinessOpportunity	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object\tangible\quest\taanab_express\crate_of_spice.iff	1	1	1	0	0	0	0	0	deliver																																									
quest.task.ground.go_to_location	@quest/ground/taan_preq:task01_journal_entry_title	@quest/ground/taan_preq:task01_journal_entry_description	1			0	2		BusinessOpportunity	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0						10.0																																								
quest.task.ground.give_item	@quest/ground/taan_preq:task02_journal_entry_title	@quest/ground/taan_preq:task02_journal_entry_description	1			0	3		TheRumorMill	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object\tangible\quest\taanab_express\shady_card.iff	1	0	1	0	0	0	0	0	give																																									
quest.task.ground.talk_to_npc	@quest/ground/taan_preq:task03_journal_entry_title	@quest/ground/taan_preq:task03_journal_entry_description	1			0	4		securingAnorder	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0																																														
quest.task.ground.give_item	@quest/ground/taan_preq:task04_journal_entry_title	@quest/ground/taan_preq:task04_journal_entry_description	1			0	5,7		TheFirstShipment	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		object\tangible\quest\taanab_express\invoice.iff	1	0	1	0	0	0	0	0	give																																									
quest.task.ground.talk_to_npc	@quest/ground/taan_preq:task05_journal_entry_title	@quest/ground/taan_preq:task05_journal_entry_description	1			0	6			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0																																														
quest.task.ground.wave_event_player			1			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0													1.0		0	0			1.0		0	0			1.0		0	0			1.0		0	0			1.0		0	0			1.0		0	0
quest.task.ground.talk_to_npc	@quest/ground/taan_preq:task07_journal_entry_title	@quest/ground/taan_preq:task07_journal_entry_description	1			0	8			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0																																														
quest.task.ground.escort			1			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																				
