APPEARANCE	APPEARANCE_ENEMY	COMPONENTAPPEARANCE	COMPONENTAPPEARANCE_ENEMY	SILHOUETTE	USE_PARENT_ORIENTATION	EFFECT_HARDPOINT	ACTIVATE_EFFECT	ACTIVATE_EFFECT_ENEMY	ACTIVATE_SOUND	DEACTIVATE_EFFECT	DEACTIVATE_EFFECT_ENEMY	DEACTIVATE_SOUND	TARGET_ACQUIRING_EFFECT	TARGET_ACQUIRING_SOUND	TARGET_ACQUIRED_APPEARANCE
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	appearance/pt_ui_target_ship.prt	appearance/pt_ui_target_ship_enemy.prt	1	1		clienteffect/ui_target_select_enable_01.cef	clienteffect/ui_target_select_enable_01.cef	sound/ui_all_target_select.snd	clienteffect/trap_electric_01.cef	clienteffect/trap_electric_01.cef	sound/ui_all_target_deselect.snd	clienteffect/ui_missile_aquiring.cef	sound/ui_all_target_missile_acquire.snd	appearance/pt_ui_missile_aquired.prt
